Vector,Labels
"[-0.07899183 -0.03882074 -0.01392363  0.07455953 -0.18925212  0.03879694
 -0.06821913  0.0582042  -0.13703707  0.02648466 -0.0499581   0.11265536
 -0.13794412 -0.00141929 -0.02785052  0.02496688 -0.03068603 -0.0101566
  0.17207706  0.13879457 -0.08279589 -0.12356639  0.04078618  0.01147468
  0.04155672 -0.0075201  -0.04423456  0.05235811 -0.18157987  0.05165592
 -0.0059644  -0.05231975 -0.15563875 -0.16895492 -0.10195886  0.0255596
 -0.05753909  0.1328016   0.00548349 -0.00052703  0.065646   -0.0984996
 -0.0612683   0.10901479 -0.03685435 -0.04812264 -0.11420435 -0.08621018
  0.00131818  0.14828163 -0.01826352 -0.06455197  0.0287325   0.01532089
 -0.10297096  0.05534238  0.04200291 -0.06096044  0.0593087  -0.0188237
 -0.21103473 -0.05808241 -0.01114424  0.02089561  0.08008999 -0.00954049
 -0.12094971  0.12360763  0.07255504 -0.04125378 -0.0901538  -0.00414424
  0.11909801 -0.00066052 -0.05521632  0.10910112  0.06449368  0.01268285
 -0.0283325   0.1023958   0.02493302 -0.15226525  0.00960221  0.02170767
 -0.05261473  0.0007951   0.0975102   0.05412076 -0.1006658   0.02639891
  0.046535    0.04934111 -0.07599974  0.17716841 -0.14496934  0.05551085
  0.03541428 -0.08807452 -0.07438849 -0.11289759  0.19041847 -0.00770664
 -0.0038851  -0.06214266  0.11943489  0.05713809 -0.31544426  0.01733219
 -0.03408616  0.1082228  -0.0547773  -0.03167574  0.09345609 -0.02836923
  0.25987917  0.05354897  0.07290928 -0.00165459 -0.0959614  -0.04012431
  0.09336244 -0.02537862 -0.07383076 -0.04648245 -0.00581977 -0.03431964
  0.0179955   0.02916693]",61
"[-8.87525305e-02 -1.77681148e-02 -1.70201287e-02  6.50416166e-02
 -1.96419701e-01  4.75575849e-02 -8.48278180e-02  4.32739072e-02
 -1.25317693e-01  3.16937640e-02 -4.46318872e-02  1.17150977e-01
 -1.27246290e-01  1.71578000e-03 -3.54027860e-02  7.95807038e-03
 -2.63453610e-02 -1.53289340e-03  1.64559647e-01  1.27242833e-01
 -6.85044974e-02 -1.04480855e-01  2.46348511e-02  1.71606094e-02
  5.48300296e-02  1.16098160e-02 -4.22613323e-02  6.20392673e-02
 -1.65159807e-01  5.93826100e-02  1.44902961e-02 -3.98647822e-02
 -1.72685906e-01 -1.59222350e-01 -9.77962017e-02  1.58727961e-03
 -4.47263569e-02  1.43710539e-01  1.82871390e-02  7.15658255e-03
  5.98822683e-02 -1.10229507e-01 -4.70548682e-02  1.03582114e-01
 -4.21017595e-02 -4.39864174e-02 -9.96749327e-02 -8.70366469e-02
 -9.22011398e-03  1.38969630e-01 -3.11616976e-02 -6.89635724e-02
  2.60133296e-02 -5.23330178e-03 -1.07100070e-01  4.16889638e-02
  4.53840867e-02 -6.97372481e-02  6.89261630e-02 -4.19885479e-03
 -2.09102094e-01 -5.75640760e-02 -1.15750078e-02 -9.22671315e-05
  7.60458335e-02 -1.27783166e-02 -1.33787960e-01  1.19078562e-01
  6.57047257e-02 -3.10650319e-02 -7.87016973e-02  6.01402530e-03
  1.19698562e-01 -1.01688271e-02 -5.57780899e-02  1.21833034e-01
  5.20027019e-02  1.73841063e-02 -2.86077652e-02  1.00100666e-01
  4.50918712e-02 -1.54247209e-01  2.52177455e-02  2.05191933e-02
 -4.77780849e-02 -4.91635455e-03  1.00259311e-01  7.34985098e-02
 -9.51471105e-02  1.21674044e-02  4.51177061e-02  3.36587727e-02
 -7.15590790e-02  1.88265398e-01 -1.44541577e-01  5.72036877e-02
  5.82134798e-02 -9.06778350e-02 -7.27838278e-02 -8.53209347e-02
  2.04626247e-01 -1.06747607e-02 -1.70043248e-04 -7.39475861e-02
  1.23331614e-01  6.54804558e-02 -3.13552201e-01  2.68229619e-02
 -3.03928573e-02  1.00182220e-01 -3.70815769e-02 -3.30331139e-02
  9.48003829e-02 -1.78833604e-02  2.79809952e-01  6.10738024e-02
  8.18695128e-02 -8.49767402e-03 -9.43558589e-02 -3.93549018e-02
  9.15583000e-02 -3.12699266e-02 -6.95863515e-02 -6.43008649e-02
  5.13087027e-03 -3.33688669e-02  1.29036112e-02  2.63606515e-02]",62
"[-8.37412477e-02 -2.84667537e-02 -2.54755374e-02  7.67411739e-02
 -1.91318125e-01  5.48479855e-02 -7.21604079e-02  4.59882580e-02
 -1.32119998e-01  1.93563458e-02 -4.81644943e-02  9.93664339e-02
 -1.36968166e-01 -1.88023467e-02 -2.00527646e-02  3.83542292e-03
 -2.27893535e-02 -1.93115082e-02  1.67761907e-01  1.33965760e-01
 -7.12632909e-02 -1.01073079e-01  4.78678383e-02 -1.50692722e-04
  4.31375243e-02  1.38960034e-02 -5.92133626e-02  6.12042807e-02
 -1.59948632e-01  5.36092743e-02  7.51324464e-04 -4.35310192e-02
 -1.64780170e-01 -1.67356983e-01 -9.36581865e-02  8.43023881e-03
 -4.61742543e-02  1.25259623e-01  1.02009473e-03  1.48953488e-02
  6.01670332e-02 -1.01190694e-01 -4.50315997e-02  1.13038830e-01
 -4.08973731e-02 -4.23623063e-02 -1.09736398e-01 -8.45778063e-02
 -2.58853994e-02  1.54216468e-01 -2.56104469e-02 -6.51746467e-02
  1.82398930e-02 -9.11416952e-03 -9.87976491e-02  5.43311611e-02
  4.67029102e-02 -6.57766014e-02  5.33964001e-02 -2.57559982e-03
 -2.17386708e-01 -7.03041553e-02 -8.56429990e-03  5.36350766e-03
  8.07392597e-02 -3.87180550e-03 -1.39483720e-01  1.17162555e-01
  7.28154331e-02 -3.76997478e-02 -7.41141587e-02  8.06612894e-03
  1.20676465e-01 -2.06470508e-02 -6.20413274e-02  1.24039896e-01
  6.60170913e-02  2.42494848e-02 -2.80296132e-02  9.59943905e-02
  3.07059009e-02 -1.51363179e-01  2.42402162e-02  2.64767744e-02
 -6.18378110e-02 -9.66615696e-03  1.02297537e-01  7.93961212e-02
 -9.47407559e-02  8.86055455e-03  5.08951657e-02  3.76917459e-02
 -7.41325319e-02  1.81393057e-01 -1.47976533e-01  6.35621771e-02
  4.02722806e-02 -9.57899839e-02 -6.44903183e-02 -8.93302336e-02
  1.96548045e-01 -5.76905906e-03 -1.61082987e-02 -7.05375895e-02
  1.30517334e-01  6.65760636e-02 -3.16221744e-01  2.71176547e-02
 -1.92843769e-02  1.04815535e-01 -4.98214588e-02 -2.51644049e-02
  9.40400809e-02 -2.19963118e-02  2.68466324e-01  5.64414039e-02
  8.00052658e-02 -1.07310219e-02 -9.96941477e-02 -2.23096665e-02
  7.65337944e-02 -3.07360236e-02 -6.16676100e-02 -6.07375354e-02
  1.45855714e-02 -4.53339107e-02  1.25389099e-02  3.50533463e-02]",8
"[-0.089242   -0.01660126 -0.01373182  0.05514953 -0.1955449   0.04587093
 -0.08610124  0.04858119 -0.12626956  0.03861348 -0.04352918  0.12403695
 -0.13407557  0.01151059 -0.0308981   0.01585799 -0.03469662  0.00488835
  0.15764631  0.1253633  -0.06316821 -0.11228871  0.00829205  0.01174468
  0.05470766  0.0104874  -0.03284223  0.05800933 -0.17530991  0.06401177
  0.02251853 -0.050566   -0.16770494 -0.1576275  -0.09904867  0.00165805
 -0.05108538  0.14222722  0.01930837  0.00349237  0.06055876 -0.10526204
 -0.04527647  0.10616916 -0.03993704 -0.05361295 -0.10482269 -0.08274629
  0.00904725  0.13739526 -0.03104398 -0.07337365  0.03413732 -0.0009161
 -0.10714155  0.05074347  0.04223269 -0.08030179  0.06915319 -0.00783689
 -0.20279443 -0.04963327 -0.01572807  0.00630084  0.06937801 -0.02147778
 -0.13171385  0.11912125  0.07019923 -0.02904848 -0.09288404  0.0059348
  0.11134282 -0.00653614 -0.04080335  0.12617162  0.05301636  0.01276878
 -0.02767483  0.10612885  0.04677618 -0.14817901  0.01685593  0.02607344
 -0.04969799 -0.00154498  0.09504785  0.06186945 -0.08947532  0.01064477
  0.0386853   0.03877062 -0.06547868  0.18845354 -0.14897425  0.04963895
  0.0607847  -0.08765205 -0.07481735 -0.09778356  0.20307879 -0.01767834
  0.00300958 -0.07202797  0.11452369  0.07011382 -0.31658205  0.01825898
 -0.02948215  0.09596545 -0.03786083 -0.03593668  0.1008344  -0.02238743
  0.2769699   0.0540626   0.08580192 -0.01141478 -0.09102365 -0.04170828
  0.10069658 -0.02373733 -0.06764106 -0.06452094 -0.01682878 -0.02679974
  0.02166021  0.02778079]",62
"[-8.37050453e-02 -2.53361817e-02 -2.07973048e-02  5.52363507e-02
 -1.87861815e-01  4.73952852e-02 -7.85481185e-02  6.08814955e-02
 -1.32590547e-01  3.34276184e-02 -4.46883701e-02  1.15085788e-01
 -1.53292835e-01  5.26755070e-03 -8.46959278e-03  1.94454771e-02
 -4.06579934e-02 -4.25914256e-03  1.54383078e-01  1.32112756e-01
 -6.04479201e-02 -1.24364756e-01  1.15035977e-02 -1.23032965e-02
  4.55144830e-02  1.08186938e-02 -4.19377312e-02  4.74987030e-02
 -1.77375928e-01  6.26434460e-02  2.01784279e-02 -6.75737560e-02
 -1.52788669e-01 -1.63936585e-01 -9.44271535e-02  6.77843951e-03
 -5.86849675e-02  1.20867796e-01 -7.14530237e-04  7.85329100e-03
  5.92370406e-02 -9.11509469e-02 -3.92403565e-02  1.20809160e-01
 -3.71788852e-02 -6.69222996e-02 -1.23919703e-01 -7.52423629e-02
  1.30583942e-02  1.46576673e-01 -2.32234728e-02 -7.45040029e-02
  3.47834714e-02  9.59723897e-04 -9.81583372e-02  7.30716139e-02
  4.19081673e-02 -9.17216837e-02  5.50308712e-02 -1.08240154e-02
 -2.03755572e-01 -5.28991558e-02 -1.72850490e-02  2.62165070e-02
  6.20327443e-02 -2.58140471e-02 -1.34768277e-01  1.16024308e-01
  8.62676874e-02 -3.24043818e-02 -1.00488164e-01  7.80866155e-03
  1.04639649e-01 -6.57257484e-03 -2.75028981e-02  1.32131472e-01
  6.83930069e-02  1.14290733e-02 -2.72616073e-02  1.08563602e-01
  3.80501114e-02 -1.36654451e-01  4.37721051e-03  3.96547318e-02
 -6.63495809e-02  1.54992696e-04  8.93885344e-02  5.53360842e-02
 -8.05357322e-02  6.31076144e-03  4.07285877e-02  5.10973409e-02
 -5.95379025e-02  1.77976936e-01 -1.55897886e-01  4.89590205e-02
  4.88309823e-02 -9.06581655e-02 -6.82308152e-02 -1.17916234e-01
  1.91490695e-01 -1.82814002e-02 -7.13953143e-03 -6.58229515e-02
  1.12014264e-01  8.11234415e-02 -3.20591092e-01  1.10649476e-02
 -1.70008894e-02  9.58903357e-02 -4.93182167e-02 -3.28648686e-02
  1.09841943e-01 -3.35016176e-02  2.62329161e-01  4.28969674e-02
  9.22516510e-02 -1.99456792e-02 -9.17596072e-02 -2.50472203e-02
  9.70263481e-02 -1.52229387e-02 -5.85667640e-02 -6.06264658e-02
 -3.74618769e-02 -2.92640869e-02  3.08655836e-02  3.71107310e-02]",63
"[-0.08428317 -0.02684692 -0.01892695  0.0642885  -0.19121195  0.05236664
 -0.07347319  0.05106186 -0.133091    0.02954754 -0.04781929  0.10832693
 -0.14378804 -0.00572752 -0.01643137  0.01495495 -0.03307439 -0.01149306
  0.15929057  0.13155453 -0.06596922 -0.11089063  0.02768697 -0.00573548
  0.04188607  0.01161907 -0.04565127  0.05838022 -0.17419136  0.05878872
  0.00955885 -0.0557311  -0.15958701 -0.16585457 -0.09677373  0.00937302
 -0.05307936  0.12647496  0.00459486  0.00946545  0.06286339 -0.09543477
 -0.04505872  0.11425428 -0.036855   -0.05258837 -0.11507495 -0.0813797
 -0.00253049  0.15253179 -0.02643492 -0.07051407  0.02884905 -0.00290862
 -0.10037877  0.06425875  0.04122278 -0.07763083  0.05510967 -0.00699155
 -0.20975435 -0.06103257 -0.01311281  0.0108269   0.07473032 -0.01457114
 -0.13575335  0.11830131  0.07739896 -0.03523893 -0.09292701  0.00758136
  0.11067117 -0.01615419 -0.04504269  0.12860507  0.06697065  0.01696479
 -0.0266073   0.10380755  0.03173973 -0.1460606   0.0133947   0.03208457
 -0.06249462 -0.00618771  0.09678452  0.0637404  -0.0894376   0.00754587
  0.04235272  0.0435632  -0.06813113  0.18329266 -0.15244912  0.053809
  0.04286587 -0.09146925 -0.06884507 -0.10499007  0.19632865 -0.01526429
 -0.01166736 -0.06850704  0.1195386   0.07028817 -0.3211565   0.01579809
 -0.02003854  0.09975421 -0.05145346 -0.02798905  0.1003494  -0.02740346
  0.26628911  0.04784945  0.08285257 -0.01246849 -0.09653918 -0.02730027
  0.08840844 -0.02197629 -0.05992262 -0.06068975 -0.01160396 -0.03758267
  0.02249667  0.03605274]",2
"[-0.09224706 -0.02474096 -0.03075689  0.07195075 -0.19554698  0.05457707
 -0.07986227  0.05167195 -0.1342322   0.01988147 -0.03956877  0.11748664
 -0.13662669 -0.00969764 -0.0302038   0.00377538 -0.02670365 -0.00068859
  0.16897202  0.12773752 -0.0635641  -0.0953897   0.03063154  0.01843323
  0.06101525  0.01315503 -0.05065113  0.05376836 -0.16740811  0.06534186
  0.01483348 -0.04522425 -0.17038675 -0.15866674 -0.09312678  0.00402665
 -0.05839257  0.12760286  0.01000118  0.00829358  0.05131013 -0.11027598
 -0.03990458  0.11473843 -0.05318781 -0.0488256  -0.10173506 -0.07286426
 -0.01222516  0.14587833 -0.02558778 -0.06971163  0.02445887 -0.00701375
 -0.09966926  0.0499143   0.05603321 -0.06768339  0.05875683 -0.00901137
 -0.2118689  -0.0521906  -0.01699497  0.00813067  0.06985848 -0.00477414
 -0.14081341  0.11730238  0.06375701 -0.03536008 -0.07773682  0.00467166
  0.11842781 -0.01745531 -0.05281942  0.1259711   0.05238537  0.03608465
 -0.02951717  0.09973873  0.04568734 -0.14501096  0.03353302  0.02399885
 -0.05715259 -0.00151915  0.0983215   0.07981732 -0.09156925  0.01395076
  0.04385569  0.03437555 -0.06626835  0.18483226 -0.15670629  0.05816215
  0.05677927 -0.09254692 -0.06278188 -0.08303616  0.19668373 -0.00677153
 -0.00447801 -0.0717455   0.12500177  0.06830751 -0.3119125   0.02920714
 -0.02239488  0.10364661 -0.03669497 -0.03960925  0.09747916 -0.01512302
  0.2729463   0.06128865  0.08864493 -0.01353034 -0.08874422 -0.03465356
  0.09017628 -0.02711496 -0.06952094 -0.06449788  0.00987043 -0.03261446
  0.02001035  0.03194871]",58
"[-0.08368307 -0.00621204 -0.00278737  0.04350632 -0.1927451   0.03524748
 -0.09657542  0.04411068 -0.11337409  0.05155279 -0.04728502  0.12278242
 -0.12941882  0.02787909 -0.02818967  0.01787755 -0.03612438  0.00461339
  0.1500324   0.126438   -0.06505367 -0.13089585 -0.00418311  0.00200101
  0.04965882  0.01172557 -0.02774616  0.05984795 -0.16558339  0.05731356
  0.02865892 -0.04965718 -0.16610064 -0.15763472 -0.09973705 -0.00631277
 -0.03418602  0.15406731  0.02052936  0.00568152  0.06623018 -0.10249153
 -0.04621781  0.09919278 -0.02761629 -0.05674466 -0.10955241 -0.09612087
  0.01348309  0.12501463 -0.03504701 -0.07378651  0.03539013 -0.0009523
 -0.11243267  0.04587779  0.03191691 -0.09281393  0.07929569 -0.00108134
 -0.1978339  -0.05547817 -0.01012502  0.00772632  0.06746843 -0.03752685
 -0.12598728  0.11739261  0.08099208 -0.02165632 -0.09093414  0.01007035
  0.11141992  0.00751902 -0.03542804  0.12447204  0.05537985 -0.01257718
 -0.02767165  0.10672186  0.05130306 -0.15240596  0.00285597  0.02823321
 -0.04376014 -0.00288035  0.09308774  0.05558354 -0.08630002  0.00479036
  0.04376208  0.0420469  -0.06615519  0.18617208 -0.13498841  0.04940338
  0.0664134  -0.08781195 -0.08326519 -0.10474174  0.20842774 -0.02097254
  0.0081056  -0.07372689  0.11149834  0.07752228 -0.31613317  0.01649675
 -0.03334221  0.08951531 -0.03615087 -0.02921065  0.10440626 -0.02973936
  0.28259656  0.052217    0.08610556 -0.01330638 -0.0959546  -0.03895166
  0.10226511 -0.02674098 -0.06448112 -0.06566406 -0.03498981 -0.02532022
  0.01572287  0.02273312]",57
"[-8.59416127e-02 -2.85488386e-02 -2.83861626e-02  6.26387224e-02
 -1.88533187e-01  5.82552217e-02 -7.17122853e-02  5.78360446e-02
 -1.37280881e-01  2.45643333e-02 -4.41812314e-02  1.07148543e-01
 -1.55295163e-01 -1.08721657e-02 -4.97253519e-03  1.24069992e-02
 -3.68418768e-02 -1.12879239e-02  1.55844674e-01  1.30862415e-01
 -5.72630987e-02 -1.08258933e-01  2.38097664e-02 -1.54370880e-02
  4.38678823e-02  1.68993771e-02 -5.04119098e-02  5.12695760e-02
 -1.74596801e-01  6.40970021e-02  1.56287421e-02 -6.51979595e-02
 -1.54508770e-01 -1.65017009e-01 -9.16466713e-02  7.03715859e-03
 -6.15014546e-02  1.11363225e-01 -4.45286185e-03  1.27350241e-02
  5.68338856e-02 -9.06241462e-02 -3.50226909e-02  1.24890178e-01
 -4.16463427e-02 -6.17802776e-02 -1.21558294e-01 -7.00524673e-02
 -5.57888488e-05  1.57016084e-01 -2.35121604e-02 -7.33931586e-02
  2.97947265e-02 -6.90301694e-03 -9.36376899e-02  7.67891034e-02
  4.60537896e-02 -8.59905556e-02  4.62120660e-02 -7.97020830e-03
 -2.08791748e-01 -5.74531220e-02 -1.76018663e-02  1.94807593e-02
  6.58772215e-02 -1.53154209e-02 -1.42715216e-01  1.14734635e-01
  8.23836923e-02 -3.57374996e-02 -9.66259316e-02  1.01690115e-02
  1.04677290e-01 -2.14754716e-02 -3.41218747e-02  1.37133121e-01
  7.07839131e-02  2.56373659e-02 -2.65391264e-02  1.05407633e-01
  3.32913250e-02 -1.35150641e-01  1.38110910e-02  4.06173468e-02
 -7.33673796e-02 -4.45486372e-03  9.25356001e-02  6.54680952e-02
 -8.08791891e-02  2.61839433e-03  4.02257778e-02  4.64416109e-02
 -6.02112561e-02  1.79562226e-01 -1.62096351e-01  5.21587618e-02
  4.29206751e-02 -9.31640565e-02 -6.10837303e-02 -1.08631879e-01
  1.90039828e-01 -1.62812751e-02 -1.65179446e-02 -6.69700578e-02
  1.17548630e-01  7.91449174e-02 -3.21595222e-01  1.37505187e-02
 -9.57040396e-03  9.80557427e-02 -5.20745255e-02 -3.07994839e-02
  1.06956817e-01 -2.92509124e-02  2.59954780e-01  4.29140031e-02
  9.16648135e-02 -2.08057687e-02 -9.26096961e-02 -1.83219835e-02
  8.77758190e-02 -1.56381559e-02 -5.41946106e-02 -6.33698925e-02
 -2.08638906e-02 -3.63457389e-02  3.09492014e-02  4.24518362e-02]",3
"[-8.87294263e-02 -2.66982317e-02 -2.18751673e-02  6.57238662e-02
 -1.94042310e-01  5.08837663e-02 -7.67536461e-02  5.36271669e-02
 -1.34805903e-01  2.76726484e-02 -4.33037765e-02  1.18284315e-01
 -1.40259668e-01 -2.35767965e-03 -2.63018645e-02  1.44314775e-02
 -3.27051133e-02 -1.61405758e-03  1.63863704e-01  1.29060984e-01
 -6.53807819e-02 -1.06389314e-01  2.37722769e-02  1.03422543e-02
  5.26885577e-02  8.49346723e-03 -4.22841124e-02  5.47097474e-02
 -1.77588254e-01  6.36869520e-02  1.33183040e-02 -5.28765656e-02
 -1.64167106e-01 -1.61360487e-01 -9.72250625e-02  9.33324546e-03
 -5.95052242e-02  1.29847467e-01  1.07352370e-02  4.67267726e-03
  5.79865389e-02 -1.03031680e-01 -4.53110635e-02  1.13252744e-01
 -4.49138172e-02 -5.25443293e-02 -1.07958950e-01 -7.63137713e-02
  1.40044827e-03  1.47476837e-01 -2.55257115e-02 -7.11323172e-02
  3.04990988e-02 -2.38895591e-05 -1.01560444e-01  5.73321730e-02
  4.77100760e-02 -7.27065206e-02  5.91346174e-02 -1.17134564e-02
 -2.08307624e-01 -5.16371280e-02 -1.68124922e-02  1.12505890e-02
  7.13562742e-02 -1.15214754e-02 -1.34755179e-01  1.19412094e-01
  6.91661611e-02 -3.53578031e-02 -9.11242962e-02  3.63764237e-03
  1.12845071e-01 -1.33961560e-02 -4.56128605e-02  1.25524089e-01
  5.76634109e-02  2.51137577e-02 -2.79236287e-02  1.04225382e-01
  3.91234308e-02 -1.45218655e-01  2.11897697e-02  2.70199310e-02
 -5.71880154e-02 -1.32253289e-03  9.61834490e-02  6.56702146e-02
 -9.12175849e-02  1.40764462e-02  4.00479995e-02  4.05752137e-02
 -6.65112585e-02  1.84976861e-01 -1.55434042e-01  5.26848398e-02
  5.09708636e-02 -8.95763710e-02 -6.83183223e-02 -9.84354541e-02
  1.96301043e-01 -1.30202202e-02 -4.22747526e-03 -6.89380094e-02
  1.18563339e-01  6.73014522e-02 -3.16952705e-01  1.95438247e-02
 -2.46897545e-02  1.01530045e-01 -4.37656678e-02 -3.65160927e-02
  9.92437527e-02 -2.17262283e-02  2.69070476e-01  5.36822043e-02
  8.49600285e-02 -1.11929607e-02 -9.07361731e-02 -3.67990136e-02
  9.50209871e-02 -2.24487893e-02 -6.75234571e-02 -6.08053729e-02
 -6.66992133e-03 -3.12457401e-02  2.38386281e-02  3.26059423e-02]",62
"[-0.08831634 -0.02449137 -0.0180938   0.07111688 -0.19619131  0.04609185
 -0.07994221  0.04677571 -0.12999792  0.02742122 -0.04439561  0.1185904
 -0.12678461 -0.00125421 -0.03934076  0.01098627 -0.02544627 -0.00120165
  0.1701527   0.12910992 -0.07319815 -0.1036247   0.0319183   0.02464652
  0.05555868  0.0051096  -0.04286958  0.05961321 -0.17036554  0.05882256
  0.0078008  -0.03940579 -0.17129415 -0.16013257 -0.09924178  0.0091086
 -0.05078483  0.14216918  0.01811878  0.00331851  0.05941621 -0.11136606
 -0.05199563  0.10372961 -0.04503447 -0.04184846 -0.09832512 -0.08485493
 -0.00867724  0.14105453 -0.02743774 -0.0669483   0.02584028  0.00074821
 -0.10631907  0.04066493  0.04801302 -0.06123534  0.06723417 -0.00984927
 -0.21044245 -0.05500307 -0.01247162  0.00282396  0.07822394 -0.00703642
 -0.13033222  0.12111609  0.06143678 -0.03497066 -0.07889881  0.00119281
  0.12184052 -0.00911398 -0.06001581  0.11607961  0.05085805  0.02255163
 -0.02901863  0.09954788  0.04124868 -0.15476102  0.02726475  0.01686845
 -0.04638788 -0.00239767  0.10078578  0.0714919  -0.09934065  0.01959115
  0.04479114  0.03482531 -0.0737299   0.18668534 -0.14584573  0.05748264
  0.05386017 -0.08933661 -0.07227321 -0.08650646  0.20094262 -0.00768382
  0.00073764 -0.07123701  0.12368421  0.05922269 -0.3117139   0.02727092
 -0.03366835  0.10436781 -0.03896138 -0.03578474  0.09162272 -0.01647514
  0.27559102  0.06285314  0.07839528 -0.00451488 -0.09280591 -0.04402363
  0.09266561 -0.03121096 -0.0745141  -0.05928607  0.01118186 -0.0327285
  0.01332278  0.02567711]",60
"[-0.083649   -0.0213579  -0.01863845  0.0618346  -0.19117527  0.0423168
 -0.08487874  0.05329626 -0.12650348  0.0324942  -0.04588619  0.1146764
 -0.13952383  0.00594997 -0.02142956  0.01260639 -0.03162762 -0.00481885
  0.16267887  0.13370642 -0.06899264 -0.12280444  0.02135094  0.00172173
  0.04992267  0.00933523 -0.0460524   0.05260351 -0.16563557  0.05696904
  0.01554687 -0.05200666 -0.16249163 -0.16380437 -0.09568596  0.00369263
 -0.0466349   0.13471194  0.00535319  0.00875395  0.06000316 -0.10170518
 -0.04457163  0.11204779 -0.03790758 -0.05606795 -0.11492884 -0.08593747
 -0.0019645   0.13915673 -0.02565026 -0.07019856  0.02796341 -0.00076444
 -0.10365518  0.05411492  0.04351855 -0.08148082  0.06461772 -0.00671847
 -0.20849995 -0.05901651 -0.01172762  0.01791092  0.06880234 -0.02192822
 -0.13266705  0.11753386  0.08018014 -0.03126426 -0.08348257  0.00665756
  0.11679847 -0.00118667 -0.04410844  0.12349811  0.06176411  0.00786638
 -0.02917839  0.10304148  0.04279437 -0.14805871  0.011763    0.02953673
 -0.05572543 -0.00144625  0.09523491  0.06567039 -0.08889566  0.01064239
  0.04882359  0.04470144 -0.06758931  0.18004458 -0.14526473  0.05660765
  0.05411997 -0.09265687 -0.07207269 -0.10343397  0.19838582 -0.01105569
 -0.00221107 -0.0697178   0.12029362  0.07569427 -0.31632403  0.02206863
 -0.02552993  0.09940719 -0.04295085 -0.03163241  0.10323167 -0.02809371
  0.27283585  0.05456042  0.08770061 -0.01475872 -0.09531806 -0.03005698
  0.09315197 -0.0264491  -0.06577618 -0.06073546 -0.0172513  -0.03193058
  0.01789306  0.02969603]",3
"[-0.08879332 -0.02981717 -0.02924737  0.0704122  -0.19252595  0.05359411
 -0.07485348  0.05705818 -0.13767095  0.02091536 -0.04184788  0.11478914
 -0.1448494  -0.00946889 -0.02140513  0.01027441 -0.03122693 -0.00458834
  0.16661534  0.1310744  -0.06434774 -0.10402148  0.03029983  0.00754773
  0.05391643  0.01026401 -0.05021158  0.05073048 -0.17384021  0.06401652
  0.01193384 -0.0543294  -0.16254118 -0.16253845 -0.09384323  0.00952103
 -0.06242064  0.12122229  0.00354446  0.00765683  0.0541011  -0.10238188
 -0.04126861  0.11912988 -0.04887727 -0.05439254 -0.11088885 -0.07175874
 -0.00499615  0.15071544 -0.02246214 -0.07043885  0.02730221 -0.00244588
 -0.09746418  0.06088806  0.05247116 -0.07230735  0.05370997 -0.01200128
 -0.21125028 -0.0530658  -0.01749121  0.01629031  0.06892116 -0.00808344
 -0.13885105  0.11773952  0.07096279 -0.03729184 -0.08660202  0.00416427
  0.11408429 -0.01602952 -0.04614453  0.12714413  0.06010175  0.03168187
 -0.02867217  0.10256734  0.0387472  -0.14164872  0.02416685  0.02940789
 -0.06280993 -0.00076367  0.09584493  0.07107794 -0.08933053  0.01358123
  0.04276088  0.0414632  -0.06500879  0.18151286 -0.15892814  0.05562529
  0.04901776 -0.0921549  -0.06302909 -0.09701675  0.19234282 -0.00941731
 -0.00806404 -0.06806959  0.12160807  0.07040896 -0.3158826   0.02240185
 -0.01963278  0.10351603 -0.04446539 -0.03734607  0.10073431 -0.02163384
  0.26585472  0.05428993  0.08841261 -0.01457348 -0.08998977 -0.0306112
  0.09106103 -0.02217858 -0.06619946 -0.06080812 -0.00310325 -0.03315355
  0.02486454  0.03550556]",3
